"Station.Code";"Station.Name";"Area";"County";"Water.Region";"VannforekomstID";"VAnnforekomstNavn"
"01A";"Sponvika";"";"Østfold";"Glomma";"0101010203-C";"Iddefjorden_3"
"02A";"Fugleskjær";"";"Østfold";"Glomma";"0101010401-C";"RamsÃ¸flaket - Ã¿sterelva"
"02B";"Kirkøy (north)";"";"Østfold";"Glomma";"0101010401-C";"RamsÃ¸flaket - Ã¿sterelva"
"03A";"Tisler";"";"Østfold";"Glomma";"0101000030-C";""
"10A1";"Skagodden";"";"Finnmark ¿ Finnmárku";"Finnmark";"0424020100-22-C";"Varangerfjorden-ytre Finnmark"
"10A2";"Skallneset";"Varangerfjord";"Finnmark ¿ Finnmárku";"Finnmark";"0424020100-C";"Varangerfjorden"
"10B";"Varangerfjord";"";"Finnmark ¿ Finnmárku";"Finnmark";"0424020100-21-C";"Varangerfjorden-ytre Norsk-Finsk"
"10F";"Skogerøy";"";"Finnmark ¿ Finnmárku";"Finnmark";"0424020100-21-C";"Varangerfjorden-ytre Norsk-Finsk"
"10G3";"Vardø";"";"Finnmark ¿ Finnmárku";"Finnmark";"0424010200-C";"Reinøysundet"
"10G4";"Vadsø";"";"Finnmark ¿ Finnmárku";"Finnmark";"0424020200-C";"VadsÃ¸ havn"
"11A1";"Sildkrokneset (south)";"";"Finnmark ¿ Finnmárku";"Finnmark";"0424030500-5-C";"BÃ¸kfjorden-midtre"
"11G";"Brashavn";"Varangerfjord";"Finnmark ¿ Finnmárku";"Finnmark";"0424030100-C";"KjÃ¸fjorden-ytre"
"11X";"Brashavn";"Varangerfjord";"Finnmark ¿ Finnmárku";"Finnmark";"0424030100-C";"KjÃ¸fjorden-ytre"
"131G";"Lastad";"Søgne";"Vest-Agder";"Agder";"0131010300-C";"Trysfjorden"
"13A";"Langøsund";"";"Vest-Agder";"Agder";"0131020202-C";"Buøysund-ytre"
"13B";"Kristiansand harbour";"";"Vest-Agder";"Agder";"0130010302-2-C";"Kristiansandsfjorden-indre havn"
"14A";"Aavigen";"";"Vest-Agder";"Agder";"0132000030-C";"Mandal-Lindesnes"
"15A";"Gåsøy";"Farsund";"Vest-Agder";"Agder";"0201010400-C";"SkarvÃ¸y"
"15B";"Farsund area";"";"Vest-Agder";"Agder";"0201000030-C";""
"15C";"Ullerø area";"";"Vest-Agder";"Agder";"0201000030-C";""
"15F";"Ullerø area";"";"Vest-Agder";"Agder";"0201000030-C";""
"15G";"Gåsøy";"Farsund";"Vest-Agder";"Agder";"0201000030-C";""
"16*";"Varaldsøy (north)";"";"Hordaland";"Hordaland";"0260040700-C";"Hissfjorden"
"21D";"Åkrafjord";"";"Hordaland";"Hordaland";"0260020600-C";"Ã¿krafjorden"
"21F";"Åkrafjord";"";"Hordaland";"Hordaland";"0260020600-C";"Ã¿krafjorden"
"220G";"Smørstakk";"";"Rogaland";"Rogaland";"0242040101-C";"Karmsundet-sør"
"221A";"Stangeland";"";"Rogaland";"Rogaland";"0242040102-C";"Karmsundet-Kopervik"
"221G";"Stangeland";"";"Rogaland";"Rogaland";"0242040101-2-C";"Karmsundet - Nordstokke"
"222A";"Kopervik harbour";"";"Rogaland";"Rogaland";"0242040102-C";"Karmsundet-Kopervik"
"224G";"Heggjelen";"";"Rogaland";"Rogaland";"0242050100-C";""
"226G";"Karmsund bridge (east)";"";"Rogaland";"Rogaland";"0242040103-C";"Karmsundet - Storasund"
"226H";"Karmsund bridge (west)";"";"Rogaland";"Rogaland";"0242040103-C";"Karmsundet - Storasund"
"226X";"Karmsund bridge (east)";"";"Rogaland";"Rogaland";"0242040103-C";"Karmsundet - Storasund"
"227A2";"Høgevarde";"";"Rogaland";"Rogaland";"0242040102-C";"Karmsundet-Kopervik"
"227G1";"Melandsholmen";"Karmsundet";"Rogaland";"Rogaland";"0242040102-C";"Karmsundet-Kopervik"
"22A";"Espevær";"";"Hordaland";"Hordaland";"0260000031-C";"Bømlo SV"
"22C";"Bømlofjord";"";"Hordaland";"Hordaland";"0260000030-C";"BÃ¸mlo-ytre"
"22F";"Borøyfjorden";"";"Hordaland";"Hordaland";"0260010600-2-C";"BÃ¸rÃ¸yfjorden"
"22G";"Espevær";"";"Hordaland";"Hordaland";"0260000031-C";"BÃ¸mlo-indre"
"23A";"Austvik";"";"Hordaland";"Hordaland";"0260010503-C";"Selsfjorden"
"23B";"Bømlo north";"";"Hordaland";"Hordaland";"0260010501-6-C";"Stokksund"
"24*";"Haustveit";"";"Hordaland";"Hordaland";"0260040900-C";"Sørfjorden"
"24A";"Vardøy";"";"Hordaland";"Hordaland";"0261010903-C";"Toftosen"
"24B";"Bergen havn";"";"Hordaland";"Hordaland";"0261010800-9-C";"Byfjorden"
