substances2;substances;substances3;substances4;substances5;substances6;substances7;IARC_class;Sums1;Order
AG;Sølv;Ag/MS-B;Ag-B EF;;;;;;1
AS;Arsen;As/MS-B;As-B EF;;;;;;2
CO;Kobolt;Co/MS-B;Co-B EF;;;;;;3
CD;Kadmium;Cd/MS-B;Cd-B EF;;;;;;4
CR;Krom;Cr/ICP-B;Cr/ICP-B;;;;;;5
CU;Kobber;Cu/MS-B;Cu-B EF;;;;;;6
HG;Kvikksølv;Hg/B;Hg-B EF;;;;;;7
NI;Nikkel;Ni/MS-B;Ni-B EF;;;;;;8
PB;Bly;Pb/MS-B;Pb-B EF;;;;;;9
ZN;Sink;Zn/MS-B;Zn-B EF;;;;;;10
FN;Jern;;;;;;;;11
CB28;PCB 28;CB28-B;CB28-B EF;;;;;CB_S7;12
CB52;PCB 52;CB52-B;CB52-B EF;;;;;CB_S7;13
CB101;PCB 101;CB101-B;CB101-B EF;;;;;CB_S7;14
CB118;PCB 118;CB118-B;CB118-B EF;;;;;CB_S7;15
CB138;PCB 138;CB138-B;CB138-B EF;;;;;CB_S7;16
CB153;PCB 153;CB153-B;CB153-B EF;;;;;CB_S7;17
CB180;PCB 180;CB180-B;CB180-B EF;;;;;CB_S7;18
CB77;PCB 77;;;;;;;;19
CB81;PCB 81;;;;;;;;20
CB105;PCB 105;;;;;;;;21
CB114;PCB 114;;;;;;;;22
CB123;PCB 123;;;;;;;;23
CB126;PCB 126;;;;;;;;24
CB156;PCB 156;;;;;;;;25
CB157;PCB 157;;;;;;;;26
CB167;PCB 167;;;;;;;;27
CB169;PCB 169;;;;;;;;28
CB189;PCB 189;;;;;;;;29
HBCDA;alfa-HBCD;HBCDA-B;HBCDa-B EF;;;a-HBCD;;HBCDD;30
HBCDB;beta-HBCD;HBCDB-B;HBCDb-B EF;;;b-HBCD;;HBCDD;112
HBCDG;gamma-HBCD;HBCDG-B;HBCDg-B EF;;;g-HBCD;;HBCDD;113
SCCP;SCCP inkl. LOQ;;SCCP-B EF;;;;;;31
MCCP;MCCP inkl. LOQ;;SCCP-B EF;;;;;;32
BDE17;;;;;;;;;33
BDE28;BDE28;;BDE28-BEF;;;;;BDE6S;34
BDE47;BDE47;;BDE47-BEF;;;;;BDE6S;35
BDE49;;;;;;;;;36
BDE66;;;;;;;;;37
BDE71;;;;;;;;;38
BDE77;;;;;;;;;39
BDE85;;;;;;;;;40
BDE99;BDE99;;BDE99-BEF;;;;;BDE6S;41
BDE100;BDE100;BD100;BDE100-BEF;;;;;BDE6S;42
BDE119;;;;;;;;;43
BDE126;;;;;;;;;44
BDE138;;BD138;;;;;;;45
BDE153;BDE153;BD153;BDE153-BEF;;;;;BDE6S;46
BDE154;BDE154;BD154;BDE15-BEF4;;;;;BDE6S;47
BDE156;;;;;;;;;48
BDE183;BDE183;;BDE183-BEF;;;;;;49
BDE184;;;;;;;;;50
BDE191;;;;;;;;;51
BDE196;BDE196;;BDE196-BEF;;;;;;52
BDE197;;;;;;;;;53
BDE205;;;;;;;;;54
BDE206;;;;;;;;;55
BDE207;;;;;;;;;56
BDE209;BDE209;;BDE209-BEF;;;;;;57
ACNLE;Acenaftylen;ACNLE-B;ACNLE-B EF;;;;Unclassified;P_S;58
ACNE;Acenaften;ACNE-B;ACNE-B EF;;;;3;P_S;59
FLE;Fluoren;FLE-B;FLE-B EF;;;;3;P_S;60
PA;Fenantren;PA-B;PA-B EF;;;;3;P_S;61
ANT;Antracen;ANT-B;ANT-B EF;;;;3;P_S;62
FLU;Fluoranten;FLU-B;FLU-B EF;;;;3;P_S;63
PYR;Pyren;PYR-B;PYR-B EF;;;;3;P_S;64
BAA;Benzo[a]antracen;BAA-B;BAA-B EF;;;;2B;P_S;65
CHR;Krysen+Trifenylen;CHR-B;CHR-B EF;CHRTR;CHRTR-B;CHRTR-B EF;2B;P_S;66
BBJF;Benzo[b,j]fluoranten;BBJF-B;BBJF-B EF;;;;2B;P_S;67
BKF;Benzo[k]fluoranten;BKF-B;BKF-B EF;;;;2B;P_S;68
BAP;Benzo[a]pyren;BAP-B;BAP-B EF;;;;1;P_S;69
DBA3A;Dibenzo[a,h]antracen;DBA3A-B;DBA3A-B EF;;;;2A;P_S;70
BGHIP;Benzo[g,h,i]perylen;BGHIP-B;BGHIP-B EF;;;;3;P_S;71
ICDP;Indeno[1,2,3-cd]pyren;ICDP-B;ICDP-B EF;;;;2B;P_S;72
NAP;Naphtalene;NAP-B;NAP-B EF;Naftalen;;;;PAH16;73
BBJKF;Benzo[b+j,k]fluoranten;BBJKF-B;BBJKF-B EF;;;;;P_S;74
BJKF;Benzo[j,k]fluoranten;BJKF-B;BJKF-B EF;;;;;;75
PFOS;Perfluoroktylsulfonat (PFOS);PFOS-B;PFOS-B;;;;;PFAS;76
PFOSA;Perfluoroktansulfonamid (PFOSA);PFOSA-B;PFOSA-B;;;;;PFAS;77
