Original row,PARAM,Parameter.Name,CAS,Component.Name,Substance.Group,Parameter_group,MGR.Group,MGR.Subgroup,Comment
4,AY380,NA,NA,NA,Biological effects: molecular/biochemical/cellular/assays,NA,ABS380,,
3,ALAD,ALAD,NA,delta-aminolevulinic acid dehydratase,Biological effects: molecular/biochemical/cellular/assays,ALA-D,ALA-D,,
20,MCCP,MCCP,85535-85-9,medium chain chlorinated parrafin (C14-C17),Chlorinated paraffins,SCCP+MCCP,CCP_NA,,
22,MCCP inkl. LOQ,NA,NA,NA,Chlorinated paraffins,SCCP+MCCP,CCP_NA,,
23,SCCP,SCCP,85535-84-8,short chain chlorinated paraffin (C10-C13),Chlorinated paraffins,SCCP+MCCP,CCP_NA,,
25,SCCP inkl. LOQ,NA,NA,NA,Chlorinated paraffins,SCCP+MCCP,CCP_NA,,
21,MCCP eksl. LOQ,MCCP eksl. LOQ,NA,NA,Chlorinated paraffins,SCCP+MCCP,CCPs,,
24,SCCP eksl. LOQ,SCCP eksl. LOQ,NA,NA,Chlorinated paraffins,SCCP+MCCP,CCPs,,
17,CYP1A,CYP1A,NA,Cytochrome P4501A,Biomarkers,CYP1A,CYP1A,,
73,DDTEP,"p,p'-DDT + p,p'-DDE incl. LOQ",GM,DDT (p p') + DDE (p p'),Dichloro-diphenyl-trichloroethane (DDTs),DDTs major isomers,DDT_NA,,
75,DDTPP,"p,p'-DDT + p,p'-DDE",50-29-3,DDT (p p'),Dichloro-diphenyl-trichloroethane (DDTs),DDTs major isomers,DDT_NA,,
74,DDTEP_exloq,"p,p'-DDT + p,p'-DDE excl. LOQ",GM,DDT (p p') + DDE (p p'),Dichloro-diphenyl-trichloroethane (DDTs),DDTs major isomers,DDT_sum,,
76,DDDOP,"o,p'-DDD",NA,NA,Dichloro-diphenyl-trichloroethane (DDTs),"DDTs o,p' isomers",DDTs,op,
77,DDEOP,"o,p'-DDE",NA,NA,Dichloro-diphenyl-trichloroethane (DDTs),"DDTs o,p' isomers",DDTs,op,
78,DDTOP,"o,p'-DDT",NA,NA,Dichloro-diphenyl-trichloroethane (DDTs),"DDTs o,p' isomers",DDTs,op,
