"","PARAM","LATIN_NAME","TISSUE_NAME","Basis","Stations","N_stations","N","Median","Proref"
"1","CO","Mytilus edulis","Whole soft body","WW","26A2,I241",2,34,NA,0.08
"2","SN","Mytilus edulis","Whole soft body","WW","10A2,11X,15A,22A,26A2,30A,31A,35A,57A,63A,64A,65A,69A,71A,91A2,97A2,98A2,I023,I131A,I133,I301,I304,I306,I965,I969,I241,52A,I307,I712",29,625,NA,0.3
"3","CB28","Mytilus edulis","Whole soft body","WW","10A2,11X,15A,22A,36A,41A,43A,44A,46A,48A,56A,57A,63A,65A,69A,84A,91A2,92A1,98A2",19,910,NA,0.12
"4","CB52","Mytilus edulis","Whole soft body","WW","10A2,11X,15A,26A2,41A,43A,64A,65A,69A,84A,97A2,98A2",12,480,NA,0.2
"5","CB101","Mytilus edulis","Whole soft body","WW","43A,48A,98A2,97A2,10A2,64A,26A2,11X,41A",9,245,NA,0.2
"6","CB105","Mytilus edulis","Whole soft body","WW","10A2,11X,15A,41A,43A,46A,48A",7,208,NA,0.15
"7","CB118","Mytilus edulis","Whole soft body","WW","43A",1,15,NA,0.07
"8","CB138","Mytilus edulis","Whole soft body","WW","43A,10A2,11X,41A",4,153,NA,0.2
"9","CB153","Mytilus edulis","Whole soft body","WW","43A,11X,10A2,41A",4,153,NA,0.26
"10","CB156","Mytilus edulis","Whole soft body","WW","10A2,11X,15A,22A,35A,36A,41A,43A,44A,46A,48A",11,399,NA,0.15
"11","CB180","Mytilus edulis","Whole soft body","WW","10A2,11X,15A,22A,26A2",5,282,NA,0.1
"12","DDTPP","Mytilus edulis","Whole soft body","WW","10A2,11X,15A,22A,30A,31A,36A,71A,76A,98A2,I022,I023,I024,I131A,I132,I133,I304,I306,I307,I712",20,644,NA,0.6
"13","ACNLE","Mytilus edulis","Whole soft body","WW","30A,71A,98A2,I023,I131A,I132,I133",7,266,NA,1
"14","ACNE","Mytilus edulis","Whole soft body","WW","30A,71A,98A2,I023,I131A",5,177,NA,0.8
"15","FLE","Mytilus edulis","Whole soft body","WW","30A,71A,98A2,I023,I131A,I304,I306,I307,I915",9,364,NA,1.6
"16","PA","Mytilus edulis","Whole soft body","WW","98A2,I023,71A",3,47,NA,2.28
"17","PYR","Mytilus edulis","Whole soft body","WW","98A2",1,17,NA,1.02
"18","CHR","Mytilus edulis","Whole soft body","WW","98A2",1,17,NA,0.52
"19","BBJF","Mytilus edulis","Whole soft body","WW","98A2,I023,I304,I306,I307",5,107,NA,6.24
"20","BKF","Mytilus edulis","Whole soft body","WW","30A,98A2,I023,I304,I306,I307,I913",7,167,NA,1.5
"21","ICDP","Mytilus edulis","Whole soft body","WW","30A,71A,98A2,I023,I131A",5,176,NA,1.73
"22","DBA3A","Mytilus edulis","Whole soft body","WW","30A,I131A",2,117,NA,0.5
"23","BGHIP","Mytilus edulis","Whole soft body","WW","98A2,I023,I304,I306,I307,I913,71A",7,254,NA,2.07
"24","CB77","Mytilus edulis","Whole soft body","WW","76A",1,18,NA,0.01
"25","CB81","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"26","CB126","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"27","CB169","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"28","MBTIN","Mytilus edulis","Whole soft body","WW","22A",1,14,NA,0.86
"29","DBTIN","Mytilus edulis","Whole soft body","WW","30A,I131A,I201,I205,I304,I306,I307",7,317,NA,4.77
"30","4-N-NP","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"31","4-N-OP","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"32","4-T-NP","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"33","4-T-OP","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"34","BDE28","Mytilus edulis","Whole soft body","WW",NA,NA,NA,NA,NA
"35","BDE99","Mytilus edulis","Whole soft body","WW","98A2,91A2,26A2,I023",4,61,NA,0.06
"36","BDE100","Mytilus edulis","Whole soft body","WW","98A2,26A2,I023,91A2,71A",5,79,NA,0.05
