"Order","STATION_CODE","Art","LATIN_NAME","Station_name","Region"
1,"20B","Torsk","Gadus morhua","Longyearbyen, Svalbard","Svalbard"
2,"19B","Torsk","Gadus morhua","Isfjorden, Svalbard","Svalbard"
3,"10B","Torsk","Gadus morhua","Varangerfjord","Troms og Finnmark"
4,"45B2","Torsk","Gadus morhua","Hammerfest harbour","Troms og Finnmark"
5,"43B2","Torsk","Gadus morhua","Tromsø harbour","Troms og Finnmark"
6,"98B1","Torsk","Gadus morhua","Lofoten","Nordland"
7,"96B","Torsk","Gadus morhua","Sandnessjøen","Nordland"
8,"80B","Torsk","Gadus morhua","Trondheim harbour","Trøndelag"
9,"28B","Torsk","Gadus morhua","Ålesund harbour","Møre og Romsdal"
10,"24B","Torsk","Gadus morhua","Bergen harbour","Vestland"
11,"53B","Torsk","Gadus morhua","Inner Sørfjord","Vestland"
12,"23B","Torsk","Gadus morhua","Bømlo","Vestland"
13,"15B","Torsk","Gadus morhua","Lista","Agder"
14,"13B","Torsk","Gadus morhua","Kristiansand harbour","Agder"
15,"71B","Torsk","Gadus morhua","Langesundfjord","Vestfold og Telemark"
16,"36B","Torsk","Gadus morhua","Tjøme, Outer Oslofjord","Vestfold og Telemark"
17,"30B","Torsk","Gadus morhua","Inner Oslofjord","Viken og Oslo"
18,"02B","Torsk","Gadus morhua","Hvaler","Viken og Oslo"
19,"11X","Blåskjell","Mytilus edulis","Brashavn, Varangerfjord","Troms og Finnmark"
20,"10A2","Blåskjell","Mytilus edulis","Skallnes, Varangerfjord","Troms og Finnmark"
21,"98A2","Blåskjell","Mytilus edulis","Svolvær airport","Nordland"
22,"97A2","Blåskjell","Mytilus edulis","Mjelle, Bodø","Nordland"
23,"97A3","Blåskjell","Mytilus edulis","Bodø harbour","Nordland"
24,"91A2","Blåskjell","Mytilus edulis","Ørland airport","Trøndelag"
25,"28A2","Blåskjell","Mytilus edulis","Ålesund harbour","Møre og Romsdal"
26,"26A2","Blåskjell","Mytilus edulis","Måløy, Nordfjord","Vestland"
27,"I241","Blåskjell","Mytilus edulis","Bergen harbour","Vestland"
28,"56A","Blåskjell","Mytilus edulis","Kvalnes, Mid Sørfjord","Vestland"
29,"65A","Blåskjell","Mytilus edulis","Vikingneset, Mid Hardangerfjord","Vestland"
30,"64A","Blåskjell","Mytilus edulis","Utne, Outer Sørfjord","Vestland"
31,"22A","Blåskjell","Mytilus edulis","Espevær, Outer Bømlafjord","Vestland"
32,"15A","Blåskjell","Mytilus edulis","Ullerøy, Farsund","Agder"
33,"I131A","Blåskjell","Mytilus edulis","Lastad, Søgne","Agder"
34,"76A2","Blåskjell","Mytilus edulis","Risøy, Risør","Agder"
35,"71A","Blåskjell","Mytilus edulis","Bjørkøya, Langesundfjord","Vestfold og Telemark"
36,"36A","Blåskjell","Mytilus edulis","Færder, Outer Oslofjord","Viken og Oslo"
37,"I304","Blåskjell","Mytilus edulis","Gåsøya, Inner Oslofjord","Viken og Oslo"
38,"I301","Blåskjell","Mytilus edulis","Akershuskaia, Inner Oslofjord","Viken og Oslo"
39,"30A","Blåskjell","Mytilus edulis","Gressholmen, Inner Oslofjord","Viken og Oslo"
40,"31A","Blåskjell","Mytilus edulis","Solbergstrand, Mid Oslofjord","Viken og Oslo"
41,"I024","Blåskjell","Mytilus edulis","Kirkøy, Hvaler","Viken og Oslo"
42,"I023","Blåskjell","Mytilus edulis","Singlekalven, Hvaler","Viken og Oslo"
43,"33F","Flounder","Platichthys flesus","Sande, Mid Oslofjord","Vestfold og Telemark"
51.5,"71G","Dog whelk / periwinkle","Littorina littorea","Fugløyskjær, Langesundfjord","Vestfold og Telemark"
45,"11G","Dog whelk","","Brashavn, Varangerfjord","Troms og Finnmark"
46,"98G","Dog whelk","","Svolvær airport","Nordland"
47,"22G","Dog whelk","","Espevær, Bømlafjord","Vestland"
48,"227G","Dog whelk","","Mid Karmsund","Rogaland"
49,"15G","Dog whelk","","Ullerøy, Farsund","Agder"
50,"131G","Dog whelk","","Lastad, Søgne","Agder"
51,"76G","Dog whelk","","Risøya, Risør","Agder"
52,"36G","Dog whelk","","Færder, Outer Oslofjord","Vestfold og Telemark"
0.5,"19N","Eider duck",Somateria mollissima ,Kongsfjorden, Svalbard,""
