Order	STATION_CODE	Art	LATIN_NAME	Station_name	Region
1	19B	Torsk	Gadus morhua	"Isfjorden, Svalbard"	Svalbard
2	10B	Torsk	Gadus morhua	Varangerfjord	Troms og Finnmark
3	45B2	Torsk	Gadus morhua	Hammerfest harbour	Troms og Finnmark
4	43B2	Torsk	Gadus morhua	Tromsø harbour	Troms og Finnmark
5	98B1	Torsk	Gadus morhua	Lofoten	Nordland
6	96B	Torsk	Gadus morhua	Sandnessjøen	Nordland
7	80B	Torsk	Gadus morhua	Trondheim harbour	Trøndelag
8	28B	Torsk	Gadus morhua	Ålesund harbour	Møre og Romsdal
9	24B	Torsk	Gadus morhua	Bergen harbour	Vestland
10	53B	Torsk	Gadus morhua	Inner Sørfjord	Vestland
11	23B	Torsk	Gadus morhua	Bømlo	Vestland
12	15B	Torsk	Gadus morhua	Lista	Agder
13	13B	Torsk	Gadus morhua	Kristiansand harbour	Agder
14	71B	Torsk	Gadus morhua	Langesundfjord	Vestfold og Telemark
15	36B	Torsk	Gadus morhua	"Tjøme, Outer Oslofjord"	Vestfold og Telemark
16	30B	Torsk	Gadus morhua	Inner Oslofjord	Viken og Oslo
17	02B	Torsk	Gadus morhua	Hvaler	Viken og Oslo
18	11X	Blåskjell	Mytilus edulis	"Brashavn, Varangerfjord"	Troms og Finnmark
19	10A2	Blåskjell	Mytilus edulis	"Skallnes, Varangerfjord"	Troms og Finnmark
20	98A2	Blåskjell	Mytilus edulis	Svolvær airport	Nordland
21	97A2	Blåskjell	Mytilus edulis	"Mjelle, Bodø"	Nordland
22	97A3	Blåskjell	Mytilus edulis	Bodø harbour	Nordland
23	91A2	Blåskjell	Mytilus edulis	Ørland airport	Trøndelag
24	28A2	Blåskjell	Mytilus edulis	Ålesund harbour	Møre og Romsdal
25	26A2	Blåskjell	Mytilus edulis	"Måløy, Nordfjord"	Vestland
26	I241	Blåskjell	Mytilus edulis	Bergen harbour	Vestland
27	56A	Blåskjell	Mytilus edulis	"Kvalnes, Mid Sørfjord"	Vestland
28	65A	Blåskjell	Mytilus edulis	"Vikingneset, Mid Hardangerfjord"	Vestland
29	64A	Blåskjell	Mytilus edulis	"Utne, Outer Sørfjord"	Vestland
30	22A	Blåskjell	Mytilus edulis	"Espevær, Outer Bømlafjord"	Vestland
31	15A	Blåskjell	Mytilus edulis	"Ullerøy, Farsund"	Agder
32	I131A	Blåskjell	Mytilus edulis	"Lastad, Søgne"	Agder
33	76A2	Blåskjell	Mytilus edulis	"Risøy, Risør"	Agder
34	71A	Blåskjell	Mytilus edulis	"Bjørkøya, Langesundfjord"	Vestfold og Telemark
35	36A	Blåskjell	Mytilus edulis	"Færder, Outer Oslofjord"	Viken og Oslo
36	I304	Blåskjell	Mytilus edulis	"Gåsøya, Inner Oslofjord"	Viken og Oslo
37	I301	Blåskjell	Mytilus edulis	"Akershuskaia, Inner Oslofjord"	Viken og Oslo
38	30A	Blåskjell	Mytilus edulis	"Gressholmen, Inner Oslofjord"	Viken og Oslo
39	31A	Blåskjell	Mytilus edulis	"Solbergstrand, Mid Oslofjord"	Viken og Oslo
40	I024	Blåskjell	Mytilus edulis	"Kirkøy, Hvaler"	Viken og Oslo
41	I023	Blåskjell	Mytilus edulis	"Singlekalven, Hvaler"	Viken og Oslo
42	33F	Flounder	Platichthys flesus	"Sande, Mid Oslofjord"	Vestfold og Telemark
43	71G	Dog whelk / periwinkle	Littorina littorea	"Fugløyskjær, Langesundfjord"	Vestfold og Telemark
44	11G	Dog whelk		"Brashavn, Varangerfjord"	Troms og Finnmark
45	98G	Dog whelk		Svolvær airport	Nordland
46	22G	Dog whelk		"Espevær, Bømlafjord"	Vestland
47	227G	Dog whelk		Mid Karmsund	Rogaland
48	15G	Dog whelk		"Ullerøy, Farsund"	Agder
49	131G	Dog whelk		"Lastad, Søgne"	Agder
50	76G	Dog whelk		"Risøya, Risør"	Agder
51	36G	Dog whelk		"Færder, Outer Oslofjord"	Vestfold og Telemark
52	19N	Eider duck	Somateria mollissoma 	"Kongsfjorden, SvalbardSvalbard"	
